,Quarter,Tm,Detail,SFO,MIA
0,1.0,Dolphins,Uwe von Schamann 37 yard field goal,0,3
1,1.0,49ers,Carl Monroe 33 yard pass from Joe Montana (Ray Wersching kick),7,3
2,1.0,Dolphins,Dan Johnson 2 yard pass from Dan Marino (Uwe von Schamann kick),7,10
3,2.0,49ers,Roger Craig 8 yard pass from Joe Montana (Ray Wersching kick),14,10
4,2.0,49ers,Joe Montana 6 yard rush (Ray Wersching kick),21,10
5,2.0,49ers,Roger Craig 2 yard rush (Ray Wersching kick),28,10
6,2.0,Dolphins,Uwe von Schamann 31 yard field goal,28,13
7,2.0,Dolphins,Uwe von Schamann 30 yard field goal,28,16
8,3.0,49ers,Ray Wersching 27 yard field goal,31,16
9,3.0,49ers,Roger Craig 16 yard pass from Joe Montana (Ray Wersching kick),38,16
