,Quarter,Tm,Detail,PIT,DAL
0,1.0,Steelers,John Stallworth 28 yard pass from Terry Bradshaw (Roy Gerela kick),7,0
1,1.0,Cowboys,Tony Hill 39 yard pass from Roger Staubach (Rafael Septien kick),7,7
2,2.0,Cowboys,Mike Hegman 37 yard defensive fumble return (Rafael Septien kick),7,14
3,2.0,Steelers,John Stallworth 75 yard pass from Terry Bradshaw (Roy Gerela kick),14,14
4,2.0,Steelers,Rocky Bleier 7 yard pass from Terry Bradshaw (Roy Gerela kick),21,14
5,3.0,Cowboys,Rafael Septien 27 yard field goal,21,17
6,4.0,Steelers,Franco Harris 22 yard rush (Roy Gerela kick),28,17
7,4.0,Steelers,Lynn Swann 18 yard pass from Terry Bradshaw (Roy Gerela kick),35,17
8,4.0,Cowboys,Billy Joe DuPree 7 yard pass from Roger Staubach (Rafael Septien kick),35,24
9,4.0,Cowboys,Butch Johnson 4 yard pass from Roger Staubach (Rafael Septien kick),35,31
