,Quarter,Time,Tm,Detail,SFO,SDG
0,1.0,,49ers,Jerry Rice 44 yard pass from Steve Young (Doug Brien kick),7,0
1,1.0,,49ers,Ricky Watters 51 yard pass from Steve Young (Doug Brien kick),14,0
2,1.0,,Chargers,Natrone Means 1 yard rush (John Carney kick),14,7
3,2.0,,49ers,William Floyd 5 yard pass from Steve Young (Doug Brien kick),21,7
4,2.0,,49ers,Ricky Watters 8 yard pass from Steve Young (Doug Brien kick),28,7
5,2.0,,Chargers,John Carney 31 yard field goal,28,10
6,3.0,,49ers,Ricky Watters 9 yard rush (Doug Brien kick),35,10
7,3.0,,49ers,Jerry Rice 15 yard pass from Steve Young (Doug Brien kick),42,10
8,3.0,7:25,Chargers,Andre Coleman 98 yard kickoff return (Mark Seay pass from Stan Humphries),42,18
9,4.0,7:25,49ers,Jerry Rice 7 yard pass from Steve Young (Doug Brien kick),49,18
10,4.0,7:25,Chargers,Tony Martin 30 yard pass from Stan Humphries (Alfred Pupunu pass from Stan Humphries),49,26
